YEAR,MO,DY,HR,TEMPERATURE
2020,1,10,18,1.9
2020,1,10,19,1.53
2020,1,10,20,1.05
2020,1,10,21,0.45
2020,1,10,22,0.01
2020,1,10,23,-0.24
2020,1,11,0,-0.37
2020,1,11,1,-0.55
2020,1,11,2,-0.77
2020,1,11,3,-1.1
2020,1,11,4,-1.45
2020,1,11,5,-1.86
2020,1,11,6,-2.17
2020,1,11,7,-2.21
2020,1,11,8,-1.07
2020,1,11,9,1.95
2020,1,11,10,3.7
2020,1,11,11,4.69
2020,1,11,12,4.76
2020,1,11,13,4.43
2020,1,11,14,4.25
2020,1,11,15,3.7
2020,1,11,16,2.25
2020,1,11,17,2.11
2020,1,11,18,1.73
2020,1,11,19,1.61
2020,1,11,20,1.77
2020,1,11,21,1.79
2020,1,11,22,1.57
2020,1,11,23,1.23
2020,1,12,0,1.34
2020,1,12,1,1.18
2020,1,12,2,1.02
2020,1,12,3,0.8
2020,1,12,4,0.66
2020,1,12,5,0.46
2020,1,12,6,0.33
2020,1,12,7,0.03
2020,1,12,8,-0.29
2020,1,12,9,-0.5
2020,1,12,10,0.07
2020,1,12,11,1.52
2020,1,12,12,2.86
2020,1,12,13,3.36
2020,1,12,14,3.24
2020,1,12,15,1.91
2020,1,12,16,0.83
2020,1,12,17,0.11
2020,1,12,18,-0.82
2020,1,12,19,-1.8
2020,1,12,20,-2.16
2020,1,12,21,-2.21
2020,1,12,22,-2.28
2020,1,12,23,-2.41
2020,1,13,0,-2.57
2020,1,13,1,-2.7
2020,1,13,2,-2.85
2020,1,13,3,-2.96
2020,1,13,4,-3.04
2020,1,13,5,-3.2
2020,1,13,6,-3.43
2020,1,13,7,-3.55
2020,1,13,8,-2.47
2020,1,13,9,-0.17
2020,1,13,10,1.67
2020,1,13,11,3.65
2020,1,13,12,4.73
2020,1,13,13,5.48
2020,1,13,14,5.19
2020,1,13,15,3.68
2020,1,13,16,2.56
2020,1,13,17,2.31
2020,1,13,18,2.11
2020,1,13,19,1.63
2020,1,13,20,1.19
2020,1,13,21,0.85
2020,1,13,22,0.65
2020,1,13,23,0.62
2020,1,14,0,0.52
2020,1,14,1,0.26
2020,1,14,2,-0.35
2020,1,14,3,-1.07
2020,1,14,4,-1.45
2020,1,14,5,-1.76
2020,1,14,6,-2.39
2020,1,14,7,-3.26
2020,1,14,8,-3.48
2020,1,14,9,-1.77
2020,1,14,10,-0.39
2020,1,14,11,1.27
2020,1,14,12,2.55
2020,1,14,13,3.15
2020,1,14,14,2.97
2020,1,14,15,1.94
2020,1,14,16,0.98
2020,1,14,17,0.36
2020,1,14,18,-0.62
2020,1,14,19,-1.52
2020,1,14,20,-2.04
2020,1,14,21,-2.54
2020,1,14,22,-3.11
2020,1,14,23,-3.53
2020,1,15,0,-3.66
2020,1,15,1,-3.68
2020,1,15,2,-3.73
2020,1,15,3,-3.91
2020,1,15,4,-4.27
2020,1,15,5,-4.82
2020,1,15,6,-5.31
2020,1,15,7,-5.59
2020,1,15,8,-4.8
2020,1,15,9,-2.49
2020,1,15,10,-0.49
2020,1,15,11,1.06
2020,1,15,12,2.23
2020,1,15,13,2.8
2020,1,15,14,2.61
2020,1,15,15,1.05
2020,1,15,16,-1.91
2020,1,15,17,-2.54
2020,1,15,18,-2.56
2020,1,15,19,-2.57
2020,1,15,20,-2.71
2020,1,15,21,-3.37
2020,1,15,22,-4.02
2020,1,15,23,-4.43
2020,1,16,0,-4.38
2020,1,16,1,-4.35
2020,1,16,2,-4.44
2020,1,16,3,-4.66
2020,1,16,4,-4.81
2020,1,16,5,-5.0
2020,1,16,6,-5.08
2020,1,16,7,-5.04
2020,1,16,8,-4.54
2020,1,16,9,-3.14
2020,1,16,10,-1.65
2020,1,16,11,0.04
2020,1,16,12,1.33
2020,1,16,13,1.76
2020,1,16,14,1.65
2020,1,16,15,0.53
2020,1,16,16,-1.79
2020,1,16,17,-2.73
2020,1,16,18,-3.17
2020,1,16,19,-3.49
2020,1,16,20,-4.06
2020,1,16,21,-4.7
2020,1,16,22,-5.15
2020,1,16,23,-5.43
2020,1,17,0,-5.5
2020,1,17,1,-5.46
2020,1,17,2,-5.36
2020,1,17,3,-5.21
2020,1,17,4,-4.89
2020,1,17,5,-4.14
2020,1,17,6,-3.43
2020,1,17,7,-3.21
2020,1,17,8,-2.68
2020,1,17,9,-2.06
2020,1,17,10,-0.64
2020,1,17,11,0.72
2020,1,17,12,1.15
2020,1,17,13,1.37
2020,1,17,14,1.25
2020,1,17,15,0.76
2020,1,17,16,-0.7
2020,1,17,17,-1.17
2020,1,17,18,-1.19
2020,1,17,19,-1.2
2020,1,17,20,-1.29
2020,1,17,21,-1.39
2020,1,17,22,-1.65
2020,1,17,23,-1.99
2020,1,18,0,-2.27
2020,1,18,1,-2.63
2020,1,18,2,-3.17
2020,1,18,3,-3.68
2020,1,18,4,-4.31
2020,1,18,5,-4.99
2020,1,18,6,-5.51
2020,1,18,7,-5.74
2020,1,18,8,-4.08
2020,1,18,9,-1.67
2020,1,18,10,0.29
2020,1,18,11,1.62
2020,1,18,12,2.37
2020,1,18,13,2.78
2020,1,18,14,2.65
2020,1,18,15,1.48
2020,1,18,16,-1.21
2020,1,18,17,-1.99
2020,1,18,18,-2.29
2020,1,18,19,-2.67
2020,1,18,20,-3.0
2020,1,18,21,-3.41
2020,1,18,22,-3.83
2020,1,18,23,-4.02
2020,1,19,0,-4.07
2020,1,19,1,-4.2
2020,1,19,2,-4.3
2020,1,19,3,-4.44
2020,1,19,4,-4.53
2020,1,19,5,-4.67
2020,1,19,6,-4.56
2020,1,19,7,-4.68
2020,1,19,8,-4.21
2020,1,19,9,-2.59
2020,1,19,10,-0.59
2020,1,19,11,0.87
2020,1,19,12,1.59
2020,1,19,13,1.91
2020,1,19,14,1.73
2020,1,19,15,0.79
2020,1,19,16,-1.52
2020,1,19,17,-1.95
2020,1,19,18,-1.84
2020,1,19,19,-1.85
2020,1,19,20,-1.94
2020,1,19,21,-2.05
2020,1,19,22,-2.25
2020,1,19,23,-2.13
2020,1,20,0,-2.05
2020,1,20,1,-2.41
2020,1,20,2,-2.8
2020,1,20,3,-3.03
2020,1,20,4,-3.12
2020,1,20,5,-3.14
2020,1,20,6,-3.24
2020,1,20,7,-3.45
2020,1,20,8,-2.54
2020,1,20,9,-1.31
2020,1,20,10,-0.55
2020,1,20,11,0.21
2020,1,20,12,0.9
2020,1,20,13,1.17
2020,1,20,14,1.01
2020,1,20,15,0.28
2020,1,20,16,-1.76
2020,1,20,17,-2.49
2020,1,20,18,-2.46
2020,1,20,19,-2.42
2020,1,20,20,-2.56
2020,1,20,21,-2.72
2020,1,20,22,-2.98
2020,1,20,23,-3.32
2020,1,21,0,-3.31
2020,1,21,1,-3.2
2020,1,21,2,-3.24
2020,1,21,3,-3.27
2020,1,21,4,-3.12
2020,1,21,5,-3.06
2020,1,21,6,-3.13
2020,1,21,7,-2.96
2020,1,21,8,-2.17
2020,1,21,9,-0.45
2020,1,21,10,1.4
2020,1,21,11,2.53
2020,1,21,12,3.53
2020,1,21,13,4.55
2020,1,21,14,4.94
2020,1,21,15,3.14
2020,1,21,16,0.57
2020,1,21,17,0.14
2020,1,21,18,0.29
2020,1,21,19,0.49
2020,1,21,20,0.67
2020,1,21,21,0.32
2020,1,21,22,-0.17
2020,1,21,23,-0.09
2020,1,22,0,0.05
2020,1,22,1,-0.27
2020,1,22,2,-0.77
2020,1,22,3,-0.85
2020,1,22,4,-1.07
2020,1,22,5,-1.39
2020,1,22,6,-1.54
2020,1,22,7,-1.81
2020,1,22,8,-0.92
2020,1,22,9,0.86
2020,1,22,10,3.34
2020,1,22,11,6.33
2020,1,22,12,8.14
2020,1,22,13,8.73
2020,1,22,14,7.83
2020,1,22,15,4.81
2020,1,22,16,1.63
2020,1,22,17,1.05
2020,1,22,18,0.97
2020,1,22,19,1.03
2020,1,22,20,0.6
2020,1,22,21,0.22
2020,1,22,22,-0.26
2020,1,22,23,-0.03
2020,1,23,0,0.38
2020,1,23,1,0.44
2020,1,23,2,0.19
2020,1,23,3,-0.43
2020,1,23,4,-0.63
2020,1,23,5,-0.38
2020,1,23,6,0.24
2020,1,23,7,0.34
2020,1,23,8,0.8
2020,1,23,9,1.52
2020,1,23,10,2.23
2020,1,23,11,2.96
2020,1,23,12,3.39
2020,1,23,13,3.55
2020,1,23,14,3.31
2020,1,23,15,2.63
2020,1,23,16,0.78
2020,1,23,17,-0.88
2020,1,23,18,-1.64
2020,1,23,19,-2.09
2020,1,23,20,-2.37
2020,1,23,21,-2.59
2020,1,23,22,-2.72
2020,1,23,23,-2.74
2020,1,24,0,-2.8
2020,1,24,1,-2.86
2020,1,24,2,-2.97
2020,1,24,3,-3.08
2020,1,24,4,-3.13
2020,1,24,5,-3.2
2020,1,24,6,-3.49
2020,1,24,7,-4.05
2020,1,24,8,-3.42
2020,1,24,9,-1.96
2020,1,24,10,0.38
2020,1,24,11,3.11
2020,1,24,12,4.42
2020,1,24,13,5.3
2020,1,24,14,5.6
2020,1,24,15,3.56
2020,1,24,16,1.06
2020,1,24,17,0.05
2020,1,24,18,-0.37
2020,1,24,19,-0.71
2020,1,24,20,-1.07
2020,1,24,21,-1.42
2020,1,24,22,-1.79
2020,1,24,23,-2.13
2020,1,25,0,-2.42
2020,1,25,1,-2.89
2020,1,25,2,-3.24
2020,1,25,3,-3.17
2020,1,25,4,-3.04
2020,1,25,5,-3.14
2020,1,25,6,-3.42
2020,1,25,7,-3.67
2020,1,25,8,-2.77
2020,1,25,9,-0.35
2020,1,25,10,1.8
2020,1,25,11,4.31
2020,1,25,12,5.19
2020,1,25,13,5.66
2020,1,25,14,5.7
2020,1,25,15,4.32
2020,1,25,16,2.98
2020,1,25,17,2.76
2020,1,25,18,2.72
2020,1,25,19,2.4
2020,1,25,20,2.24
2020,1,25,21,1.91
2020,1,25,22,1.08
2020,1,25,23,-0.02
2020,1,26,0,-0.79
2020,1,26,1,-1.24
2020,1,26,2,-1.97
2020,1,26,3,-2.74
2020,1,26,4,-3.37
2020,1,26,5,-3.86
2020,1,26,6,-4.17
2020,1,26,7,-4.13
2020,1,26,8,-2.44
2020,1,26,9,0.44
2020,1,26,10,2.55
2020,1,26,11,4.6
2020,1,26,12,6.1
2020,1,26,13,6.6
2020,1,26,14,6.31
2020,1,26,15,3.81
2020,1,26,16,0.87
2020,1,26,17,-0.15
2020,1,26,18,-0.24
2020,1,26,19,-0.32
2020,1,26,20,-0.45
2020,1,26,21,-0.53
2020,1,26,22,-0.71
2020,1,26,23,-0.92
2020,1,27,0,-1.08
2020,1,27,1,-1.17
2020,1,27,2,-0.98
2020,1,27,3,-0.67
2020,1,27,4,-0.53
2020,1,27,5,-0.39
2020,1,27,6,-0.16
2020,1,27,7,-0.02
2020,1,27,8,0.67
2020,1,27,9,2.23
2020,1,27,10,3.65
2020,1,27,11,4.99
2020,1,27,12,6.26
2020,1,27,13,6.78
2020,1,27,14,6.52
2020,1,27,15,4.16
2020,1,27,16,1.71
2020,1,27,17,1.01
2020,1,27,18,1.08
2020,1,27,19,1.18
2020,1,27,20,1.41
2020,1,27,21,1.92
2020,1,27,22,2.57
2020,1,27,23,2.69
2020,1,28,0,2.31
2020,1,28,1,2.04
2020,1,28,2,1.82
2020,1,28,3,1.55
2020,1,28,4,1.29
2020,1,28,5,1.01
2020,1,28,6,0.9
2020,1,28,7,1.04
2020,1,28,8,1.56
2020,1,28,9,2.13
2020,1,28,10,2.81
2020,1,28,11,4.21
2020,1,28,12,6.23
2020,1,28,13,7.49
2020,1,28,14,7.73
2020,1,28,15,5.67
2020,1,28,16,2.64
2020,1,28,17,1.41
2020,1,28,18,1.66
2020,1,28,19,1.76
2020,1,28,20,1.19
2020,1,28,21,0.27
2020,1,28,22,-0.2
2020,1,28,23,-0.33
2020,1,29,0,-0.44
2020,1,29,1,-0.38
2020,1,29,2,-0.33
2020,1,29,3,-0.31
2020,1,29,4,-0.07
2020,1,29,5,-0.26
2020,1,29,6,-0.08
2020,1,29,7,0.16
2020,1,29,8,0.88
2020,1,29,9,2.05
2020,1,29,10,3.69
2020,1,29,11,4.41
2020,1,29,12,4.46
2020,1,29,13,5.3
2020,1,29,14,6.17
2020,1,29,15,4.63
2020,1,29,16,1.62
2020,1,29,17,-0.29
2020,1,29,18,-1.02
2020,1,29,19,-1.3
2020,1,29,20,-1.73
2020,1,29,21,-2.05
2020,1,29,22,-2.17
2020,1,29,23,-2.17
2020,1,30,0,-2.05
2020,1,30,1,-1.92
2020,1,30,2,-1.77
2020,1,30,3,-1.67
2020,1,30,4,-1.58
2020,1,30,5,-1.51
2020,1,30,6,-1.42
2020,1,30,7,-1.24
2020,1,30,8,0.78
2020,1,30,9,2.81
2020,1,30,10,4.66
2020,1,30,11,5.49
2020,1,30,12,5.44
2020,1,30,13,6.02
2020,1,30,14,6.46
2020,1,30,15,4.74
2020,1,30,16,1.72
2020,1,30,17,0.89
2020,1,30,18,0.75
2020,1,30,19,0.46
2020,1,30,20,-0.1
2020,1,30,21,-0.81
2020,1,30,22,-1.32
2020,1,30,23,-1.58
2020,1,31,0,-1.53
2020,1,31,1,-1.2
2020,1,31,2,-0.58
2020,1,31,3,0.01
2020,1,31,4,0.1
2020,1,31,5,-0.05
2020,1,31,6,0.04
2020,1,31,7,0.26
2020,1,31,8,2.18
2020,1,31,9,3.81
2020,1,31,10,5.65
2020,1,31,11,7.05
2020,1,31,12,7.3
2020,1,31,13,6.19
2020,1,31,14,5.2
2020,1,31,15,3.86
2020,1,31,16,1.91
