YEAR,MO,DY,HR,IRRADIATION
2020,1,9,23,0.0
2020,1,10,0,0.0
2020,1,10,1,0.0
2020,1,10,2,0.0
2020,1,10,3,0.0
2020,1,10,4,0.0
2020,1,10,5,0.0
2020,1,10,6,0.0
2020,1,10,7,0.0
2020,1,10,8,30.1
2020,1,10,9,130.66
2020,1,10,10,217.82
2020,1,10,11,305.6
2020,1,10,12,372.74
2020,1,10,13,331.95
2020,1,10,14,268.84
2020,1,10,15,152.99
2020,1,10,16,36.92
2020,1,10,17,0.0
2020,1,10,18,0.0
2020,1,10,19,0.0
2020,1,10,20,0.0
2020,1,10,21,0.0
2020,1,10,22,0.0
2020,1,10,23,0.0
2020,1,11,0,0.0
2020,1,11,1,0.0
2020,1,11,2,0.0
2020,1,11,3,0.0
2020,1,11,4,0.0
2020,1,11,5,0.0
2020,1,11,6,0.0
2020,1,11,7,0.0
2020,1,11,8,32.27
2020,1,11,9,148.07
2020,1,11,10,254.05
2020,1,11,11,312.9
2020,1,11,12,347.61
2020,1,11,13,322.88
2020,1,11,14,240.96
2020,1,11,15,115.38
2020,1,11,16,25.44
2020,1,11,17,0.0
2020,1,11,18,0.0
2020,1,11,19,0.0
2020,1,11,20,0.0
2020,1,11,21,0.0
2020,1,11,22,0.0
2020,1,11,23,0.0
2020,1,12,0,0.0
2020,1,12,1,0.0
2020,1,12,2,0.0
2020,1,12,3,0.0
2020,1,12,4,0.0
2020,1,12,5,0.0
2020,1,12,6,0.0
2020,1,12,7,0.0
2020,1,12,8,30.7
2020,1,12,9,147.54
2020,1,12,10,237.94
2020,1,12,11,286.07
2020,1,12,12,302.31
2020,1,12,13,290.87
2020,1,12,14,255.76
2020,1,12,15,144.28
2020,1,12,16,31.41
2020,1,12,17,0.0
2020,1,12,18,0.0
2020,1,12,19,0.0
2020,1,12,20,0.0
2020,1,12,21,0.0
2020,1,12,22,0.0
2020,1,12,23,0.0
2020,1,13,0,0.0
2020,1,13,1,0.0
2020,1,13,2,0.0
2020,1,13,3,0.0
2020,1,13,4,0.0
2020,1,13,5,0.0
2020,1,13,6,0.0
2020,1,13,7,0.0
2020,1,13,8,35.62
2020,1,13,9,168.84
2020,1,13,10,249.48
2020,1,13,11,320.3
2020,1,13,12,323.91
2020,1,13,13,301.72
2020,1,13,14,237.91
2020,1,13,15,142.88
2020,1,13,16,41.7
2020,1,13,17,0.0
2020,1,13,18,0.0
2020,1,13,19,0.0
2020,1,13,20,0.0
2020,1,13,21,0.0
2020,1,13,22,0.0
2020,1,13,23,0.0
2020,1,14,0,0.0
2020,1,14,1,0.0
2020,1,14,2,0.0
2020,1,14,3,0.0
2020,1,14,4,0.0
2020,1,14,5,0.0
2020,1,14,6,0.0
2020,1,14,7,0.0
2020,1,14,8,28.4
2020,1,14,9,171.12
2020,1,14,10,250.45
2020,1,14,11,315.8
2020,1,14,12,333.75
2020,1,14,13,319.57
2020,1,14,14,249.28
2020,1,14,15,152.79
2020,1,14,16,43.26
2020,1,14,17,0.0
2020,1,14,18,0.0
2020,1,14,19,0.0
2020,1,14,20,0.0
2020,1,14,21,0.0
2020,1,14,22,0.0
2020,1,14,23,0.0
2020,1,15,0,0.0
2020,1,15,1,0.0
2020,1,15,2,0.0
2020,1,15,3,0.0
2020,1,15,4,0.0
2020,1,15,5,0.0
2020,1,15,6,0.0
2020,1,15,7,0.0
2020,1,15,8,29.1
2020,1,15,9,177.02
2020,1,15,10,256.73
2020,1,15,11,338.5
2020,1,15,12,333.57
2020,1,15,13,315.54
